DataFrame,Model,RMSE,R2
HAL_target90,Srbf_C100_e05_g001,0.194926,-0.290768
HAL_target90,Srbf_C100_e05_g01,0.344938,-2.780926
HAL_target90,Slin_C01,0.186639,-0.150597
HAL_target90,Slin_C1,0.186757,-0.15193
HAL_target90,Slin_C10,0.186846,-0.152394
HAL_target90,Spoly2_C1_gscale,0.292898,-1.552385
HAL_target90,Spoly2_C1_g001,0.182722,-0.084733
HAL_target90,Spoly2_C10_gscale,0.343171,-2.485327
HAL_target90,Spoly2_C10_g001,0.180972,-0.086749
HAL_target90,Spoly3_C1_gscale,1.094945,-40.373328
HAL_target90,Spoly3_C1_g001,0.181818,-0.078143
HAL_target90,GBRT_d3_lr001,0.18482,-0.192668
HAL_target90,GBRT_d3_lr005,0.195553,-0.366566
HAL_target90,GBRT_d4_lr001,0.187428,-0.238568
HAL_target90,GBRT_d4_lr005,0.194999,-0.36382
HAL_target90,GBRT_d5_lr001,0.191274,-0.304508
HAL_target90,GBRT_d5_lr005,0.19863,-0.431772
HAL_target90,MLP_64_relu_lr0005,0.243482,-1.327575
HAL_target90,MLP_64_relu_lr001,0.239811,-1.222186
HAL_target90,MLP_64_relu_lr005,0.246097,-1.339809
HAL_target90,MLP_64_relu_lr01,0.261374,-1.401584
NOC_target30,Srbf_C1_e01_gscale,0.069058,-2.477363
NOC_target30,Srbf_C1_e01_g001,0.047802,-0.511424
NOC_target30,Srbf_C1_e01_g01,0.077984,-4.256937
NOC_target30,Srbf_C1_e05_gscale,0.05624,-1.020079
NOC_target30,Srbf_C1_e05_g001,0.043458,-0.154379
NOC_target30,Srbf_C1_e05_g01,0.061018,-1.472241
NOC_target30,Srbf_C10_e01_gscale,0.08158,-3.761966
NOC_target30,Srbf_C10_e01_g001,0.070039,-3.739765
NOC_target30,Srbf_C10_e01_g01,0.110015,-9.554583
NOC_target30,Srbf_C10_e05_gscale,0.057246,-1.09435
NOC_target30,Srbf_C10_e05_g001,0.056844,-1.497434
NOC_target30,Srbf_C10_e05_g01,0.09987,-7.426898
NOC_target30,Srbf_C100_e01_gscale,0.090394,-4.728695
NOC_target30,Srbf_C100_e01_g001,0.146342,-31.840554
NOC_target30,Srbf_C100_e01_g01,0.185397,-30.276735
NOC_target30,Srbf_C100_e05_gscale,0.057246,-1.09435
NOC_target30,Srbf_C100_e05_g001,0.109342,-13.396338
NOC_target30,Srbf_C100_e05_g01,0.119253,-10.090198
NOC_target30,Slin_C01,0.045356,-0.331098
NOC_target30,Slin_C1,0.045861,-0.373451
NOC_target30,Slin_C10,0.04547,-0.339688
NOC_target30,Spoly2_C1_gscale,0.36439,-328.973083
NOC_target30,Spoly2_C1_g001,0.047597,-0.510804
NOC_target30,Spoly2_C10_gscale,0.589034,-1044.7165
NOC_target30,Spoly2_C10_g001,0.06743,-3.283319
NOC_target30,Spoly3_C1_gscale,0.872767,-1735.824958
NOC_target30,Spoly3_C1_g001,0.053829,-1.157209
NOC_target30,GBRT_d3_lr001,0.045658,-0.261975
NOC_target30,GBRT_d3_lr005,0.052158,-0.661817
NOC_target30,GBRT_d4_lr001,0.046817,-0.325526
NOC_target30,GBRT_d4_lr005,0.054211,-0.795895
NOC_target30,GBRT_d5_lr001,0.047692,-0.379127
NOC_target30,GBRT_d5_lr005,0.05308,-0.722299
NOC_target30,MLP_64_relu_lr0005,0.286437,-177.483481
NOC_target30,MLP_64_relu_lr001,0.289619,-187.715387
NOC_target30,MLP_64_relu_lr005,0.29549,-203.88761
NOC_target30,MLP_64_relu_lr01,0.298565,-206.595392
NOC_target60,Srbf_C1_e01_gscale,0.085653,-1.470552
NOC_target60,Srbf_C1_e01_g001,0.08061,-2.10174
NOC_target60,Srbf_C1_e01_g01,0.122396,-6.38238
NOC_target60,Srbf_C1_e05_gscale,0.079242,-1.054854
NOC_target60,Srbf_C1_e05_g001,0.079464,-2.145194
NOC_target60,Srbf_C1_e05_g01,0.099609,-3.177419
NOC_target60,Srbf_C10_e01_gscale,0.097369,-2.186577
NOC_target60,Srbf_C10_e01_g001,0.129311,-12.215561
NOC_target60,Srbf_C10_e01_g01,0.142304,-8.472987
NOC_target60,Srbf_C10_e05_gscale,0.083604,-1.296644
NOC_target60,Srbf_C10_e05_g001,0.112682,-8.478504
NOC_target60,Srbf_C10_e05_g01,0.131941,-6.809893
NOC_target60,Srbf_C100_e01_gscale,0.100949,-2.406531
NOC_target60,Srbf_C100_e01_g001,0.241046,-49.45607
NOC_target60,Srbf_C100_e01_g01,0.203175,-15.864806
NOC_target60,Srbf_C100_e05_gscale,0.083582,-1.295447
NOC_target60,Srbf_C100_e05_g001,0.214747,-43.808722
NOC_target60,Srbf_C100_e05_g01,0.159109,-9.510467
